person_id,display_name,academic_year,start_date,end_date,role_group,position,source,confidence,current_active
aa4cr,Abdelmalek Abdesselam,2021-2022,2021-08-01,2022-07-31,faculty,Associate Professor,git-history,commit-date,true
asr3x,Andrei Rapinchuk,2021-2022,2021-08-01,2022-07-31,faculty,McConnell-Bernard Professor of Mathematics,git-history,commit-date,true
brh5c,Benjamin Hayes,2021-2022,2022-06-09,2022-07-31,faculty,Associate Professor,git-history,commit-date,true
hcg3m,Christian Gromoll,2021-2022,2021-08-01,2022-07-31,faculty,Associate Professor,git-history,commit-date,true
cmr3hk,Christian Reidys,2021-2022,2021-08-01,2022-07-31,faculty,Professor,git-history,commit-date,true
clh4xd,Craig Huneke,2021-2022,2021-08-01,2022-07-31,faculty,Marvin Rosenblum Professor,git-history,commit-date,true
des5e,David Sherman,2021-2022,2021-08-01,2022-07-31,faculty,Associate Professor,git-history,commit-date,true
eg4va,Evangelia Gazaki,2021-2022,2021-08-01,2022-07-31,faculty,Assistant Professor,git-history,commit-date,true
iwh,Ira Herbst,2021-2022,2021-08-01,2021-08-20,faculty,Professor and Associate Chair,git-history,commit-date,true
jlm6cj,Jennifer Morse,2021-2022,2021-08-01,2022-07-31,faculty,Professor,git-history,commit-date,true
ji2k,John Imbrie,2021-2022,2021-08-20,2022-07-31,faculty,Professor,git-history,commit-date,true
jeb2md,Julie Bergner,2021-2022,2021-08-01,2022-07-31,faculty,Professor,git-history,commit-date,true
jf8dc,Juraj Földes,2021-2022,2022-06-09,2022-07-31,faculty,Associate Professor,git-history,commit-date,true
khp3k,Karen Parshall,2021-2022,2021-08-01,2022-07-31,faculty,Commonwealth Professor of Mathematics and History,git-history,commit-date,true
ko5wk,Ken Ono,2021-2022,2022-07-31,2022-07-31,faculty,Chairman and Marvin Rosenblum Professor of Mathematics,git-history,commit-date,true
lap5r,Leonid Petrov,2021-2022,2021-08-01,2022-07-31,faculty,Associate Professor,git-history,commit-date,true
mve2x,Mikhail Ershov,2021-2022,2021-08-01,2022-07-31,faculty,Professor,git-history,commit-date,true
njk4x,Nicholas Kuhn,2021-2022,2021-08-01,2022-07-31,faculty,Professor,git-history,commit-date,true
pa8e,Peter Abramenko,2021-2022,2021-08-01,2022-07-31,faculty,Professor,git-history,commit-date,true
ph7ph,Peter Humphries,2021-2022,2021-08-01,2022-07-31,faculty,Assistant Professor,git-history,commit-date,true
sm4cw,Sara Maloni,2021-2022,2022-06-09,2022-07-31,faculty,Associate Professor,git-history,commit-date,true
vk6e,Slava Krushkal,2021-2022,2021-08-01,2022-07-31,faculty,Professor,git-history,commit-date,true
tam7b,Tai Melcher,2021-2022,2021-08-01,2022-07-31,faculty,Associate Professor,git-history,commit-date,true
tmk5a,Thomas Koberda,2021-2022,2021-08-01,2022-07-31,faculty,Associate Professor,git-history,commit-date,true
tmark,Thomas Mark,2021-2022,2021-08-20,2022-07-31,faculty,Professor and Associate Chair,git-history,commit-date,true
ww9c,Weiqiang Wang,2021-2022,2021-08-01,2022-07-31,faculty,Gordon Whyburn Professor of Mathematics,git-history,commit-date,true
yqd3p,Yen Do,2021-2022,2021-08-01,2022-07-31,faculty,Associate Professor,git-history,commit-date,true
